TaxiID,Lon,Lat,streetMID,disFNode,oneway,pLon,pLat
11021,114.29705,30.557240000000004,2499,274.047944495505,F,114.297082796766,30.5575308946177
11024,114.29088300000001,30.527692,1445,367.415648709122,B,114.290868798059,30.5277568998523
11027,114.309118,30.556913,2390,332.057515815784,F,114.30900593903,30.5566184588561
11044,114.395052,30.637970000000003,6241,278.262247425449,B,114.394993656324,30.6379701682937
11049,114.400807,30.476078,227,203.44387576211,F,114.400807852421,30.4760588848224
11058,114.292477,30.629563,7727,312.084771809542,F,114.292482011519,30.6295492216878
11086,114.24975800000001,30.643047999999997,7424,331.62913119914,F,114.25015043697,30.6426394254898
11091,114.308575,30.528785,1485,319.682215876813,F,114.308668989989,30.5287840852226
11097,114.40123999999999,30.507928000000003,894,148.650640873965,F,114.401262026333,30.5079310110175
11115,114.328645,30.518646999999998,1188,487.574299833629,F,114.32881748694,30.5189360950924
11117,114.36496000000001,30.499902000000002,758,373.06767987096,B,114.3648885715,30.4999028142177
11119,114.393748,30.507332,861,40.5120354601729,F,114.393592190446,30.5073939648365
11129,114.208009,30.596736,4518,382.277557814048,B,114.208560550535,30.5966357573134
11145,114.322892,30.587747999999998,3935,487.664686690013,F,114.323109556812,30.5876149682153
11201,114.255053,30.624985,5863,38.7067177258148,F,114.255472271855,30.6250850248842
11203,114.338343,30.603866999999997,4919,747.354330779058,F,114.338965521905,30.603398098199
11205,114.272957,30.574893,3227,209.583946593231,F,114.272962360379,30.5748777709865
11211,114.390318,30.532992999999998,1651,531.616228062903,F,114.390325461846,30.5332336725584
11216,114.31651000000001,30.57947,3647,29.1205879466405,F,114.316431231449,30.5795204841534
11224,114.249633,30.574512,3198,626.278748998688,F,114.249573784353,30.5747348687454
11232,114.20103799999998,30.566038,2791,97.7381109670573,F,114.200981149085,30.5658695923114
11242,114.33073999999999,30.546561999999998,2090,30.975106982991,F,114.330721888476,30.5465649149676
11276,114.31345,30.659932,6566,236.073125695366,B,114.313301264154,30.6599119655939
11284,114.214252,30.586477000000002,3753,94.5816195125034,B,114.214399793632,30.5864445568157
11305,114.35115,30.582252,3628,44.8033802215608,F,114.35116734335,30.5822686498283
11311,114.21193999999998,30.606216999999997,4718,374.623166212801,B,114.211907041022,30.6062282202398
11315,114.31008500000002,30.548458,2150,1511.71897940918,B,114.310197004155,30.5489548541117
11329,114.309982,30.511173,1020,139.576417591475,B,114.309978894626,30.5119601029196
11336,114.261453,30.562734999999996,7104,87.3557737288448,F,114.261512704746,30.5627240703643
11354,114.223398,30.593702,4137,589.359318707572,F,114.224410004277,30.5939120141151
11362,114.266327,30.593272999999996,4243,243.126662365256,F,114.266374095561,30.5932863390108
11363,114.1855,30.590578000000004,4134,191.011189015463,B,114.185530059931,30.5906731388696
11371,114.159613,30.571088,7876,2320.29071080789,F,114.159648298664,30.5710897195745
11385,114.220285,30.583823,3669,32.5505793865549,F,114.220402456722,30.583792714119
11406,114.228298,30.555171,2530,69.6796814697701,B,114.227705341598,30.5552590697003
11410,114.258173,30.597868,7237,401.843913614388,F,114.258135821435,30.5978706110855
11425,114.32561000000001,30.515691999999998,1124,525.57372263455,B,114.325655286596,30.5156048286613
11622,114.40701299999999,30.646625,7903,3545.7725533943,F,114.406987376784,30.6466100940015
11623,114.37946799999999,30.467745,42,505.548869497002,F,114.379476225164,30.4677112457971
11685,114.24792,30.571762,3066,171.673014423124,F,114.247935435915,30.5721051194561
11686,114.34601799999999,30.568323,2969,608.411128485423,F,114.346047512842,30.5683034806763
11709,114.31248300000001,30.526682,1404,176.147952193078,B,114.312561572171,30.5268164407501
11711,114.197753,30.539283,7602,77.5905217674997,F,114.197749035019,30.5392551854406
11797,114.34493,30.599767,4558,241.207513426688,F,114.344827085793,30.5998357718574
12007,114.320493,30.538945000000002,1872,393.069009483061,F,114.320573052643,30.5390654238582
12010,114.287097,30.597312,4500,2.29306552136038,F,114.287130702831,30.5973418473344
12028,114.205633,30.56506,7646,372.466591234489,F,114.205150228472,30.5652101890907
12035,114.19168,30.541158000000003,7757,137.274777562222,F,114.191644078531,30.5411765896531
12041,114.319833,30.508073,909,152.593008927666,B,114.319968450843,30.5080742807316
12046,114.397195,30.641921999999997,6365,355.585073203644,F,114.397211344593,30.6418970571467
12058,114.157827,30.617687,5637,13.247946509055,F,114.157793628645,30.6176791666846
12059,114.267347,30.596675,4443,136.327491027941,F,114.26732992574,30.5966695999598
12060,114.39453799999998,30.626046999999996,5840,790.816014769928,B,114.394972382966,30.6260464749488
12067,114.31659199999999,30.57954,3647,40.0428111583758,F,114.316498980799,30.5795996176763
12076,114.346655,30.587396999999996,4034,429.388659594186,B,114.346718899445,30.5873280244601
12080,114.310718,30.56895,2951,93.9628882512297,F,114.310725659292,30.5689566785345
12089,114.30399799999999,30.47707,287,164.055712031851,B,114.303961771878,30.4777424902154
12102,114.181767,30.597355,4551,486.995210598019,B,114.181912962751,30.5975556271864
12109,114.38344,30.46407,30,122.160362595398,F,114.383424563402,30.4640594581829
12113,114.35471299999999,30.624388,5930,647.200983893652,B,114.354785056228,30.6244415422598
12124,114.402348,30.644446999999996,6422,505.84903575052,F,114.402375509781,30.6444045625179
13611,114.296373,30.536738,1788,215.133904166788,F,114.296374111795,30.5367089305455
13612,114.318205,30.532992,1641,235.010543830235,B,114.318098996667,30.533045237126
13614,114.34751000000001,30.569412,2957,349.968242869509,F,114.347459212728,30.5694460373485
13616,114.318542,30.540153000000004,1872,163.82133618052,F,114.318510409264,30.5401069270557
13718,114.371623,30.534896999999997,1645,215.978976965888,F,114.371678912107,30.5348786006445
13719,114.31618200000001,30.540832,1895,329.618106720357,F,114.316359396542,30.5411039591318
